,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
31,150,237,0,215,95,11,14,3,12,4,9,87,38,331,325,3,9,156,244,0,0,0
32,70,79,0,215,144,14,15,4,14,5,6,77,77,508,503,10,9,65,73,0,0,0
33,194,213,30,215,99,12,14,8,15,5,8,74,51,323,351,10,9,198,224,1,0,0
34,138,150,31,215,144,9,21,2,2,4,5,97,72,221,208,7,9,120,157,1,0,0
35,211,177,75,5,0,8,35,4,8,6,19,92,92,218,223,8,8,180,157,1,41,1
36,220,379,0,215,144,15,17,1,12,6,10,42,9,214,200,10,9,267,386,0,0,0
37,208,193,0,215,144,11,4,15,15,2,6,86,84,315,301,10,9,182,193,0,0,0
38,179,162,2,215,144,9,17,10,9,11,9,66,67,473,485,10,9,161,170,0,0,0
39,197,277,0,56,107,5,7,2,3,2,6,59,47,236,219,1,1,247,282,0,0,0
41,247,264,0,17,16,0,17,2,2,14,13,91,68,218,217,8,7,232,268,0,0,0
42,164,180,10,215,144,8,23,12,11,11,11,56,51,224,244,10,9,169,182,1,0,0
43,110,274,0,50,111,0,13,13,8,3,7,24,10,339,323,0,0,200,282,0,0,0
44,148,168,0,215,144,15,15,14,14,6,5,55,59,297,315,7,8,152,149,0,19,1
45,176,265,0,96,106,2,23,9,9,16,15,34,13,315,299,5,6,215,273,0,0,0
46,215,223,16,215,144,0,9,0,2,8,5,73,55,508,503,10,9,217,231,1,12,1
47,227,292,0,215,144,10,19,13,9,7,17,52,58,252,252,10,9,269,262,0,0,0
48,284,267,161,67,0,2,20,8,8,9,11,93,94,194,197,7,8,254,252,1,30,1
49,290,301,0,38,66,16,64,10,1,8,9,68,63,259,250,3,6,296,301,0,0,0
50,138,188,13,34,144,16,64,16,16,39,39,90,75,508,503,10,9,127,189,1,43,1
51,106,175,0,32,70,6,16,0,7,1,10,76,36,348,344,7,9,122,175,0,0,0
52,138,120,29,215,144,13,28,13,12,18,14,95,76,168,215,7,8,109,108,1,22,1
54,127,190,19,215,144,12,15,12,10,9,6,84,51,293,312,10,9,170,201,1,2,0
55,124,200,0,48,106,4,14,4,3,5,7,47,26,359,334,0,1,148,205,0,0,0
56,291,367,0,88,125,2,13,5,13,5,9,23,16,211,203,10,9,316,370,0,0,0
57,154,156,0,215,144,15,21,13,15,15,12,40,37,508,503,10,9,142,155,0,0,0
58,149,169,40,15,54,7,27,0,13,6,7,76,63,254,249,7,3,137,183,1,0,0
59,197,206,83,17,36,11,21,8,11,13,14,70,54,256,276,7,7,177,203,1,0,0
60,237,264,0,50,11,16,64,14,12,1,8,45,48,181,188,10,9,224,237,0,6,0
61,297,347,0,65,76,2,21,10,1,8,12,63,39,215,211,1,3,307,355,0,0,0
62,313,449,0,197,144,11,24,5,15,15,6,11,8,196,185,0,9,374,437,0,0,0
63,85,156,2,13,91,0,16,16,0,0,7,96,75,431,437,10,9,93,168,0,0,0
64,203,314,0,38,105,11,13,9,13,2,8,51,33,199,184,1,1,255,311,0,0,0
65,299,423,0,215,144,9,33,7,14,11,19,49,22,153,153,10,9,362,432,0,0,0
66,238,256,27,42,120,14,21,15,13,9,14,56,26,214,212,3,1,230,262,1,0,0
67,203,211,91,19,51,7,40,7,14,20,19,60,90,169,191,4,8,211,177,1,81,1
68,136,184,0,11,92,5,14,4,4,6,7,56,40,430,420,10,9,160,192,0,0,0
69,167,171,0,29,98,13,18,13,8,11,10,48,39,268,288,2,1,171,182,0,0,0
70,262,294,0,130,74,11,21,8,11,10,13,24,13,207,215,7,4,232,276,0,0,0
71,250,298,0,215,144,4,19,5,4,11,17,66,65,306,299,10,9,275,293,0,0,0
72,241,239,4,72,59,16,64,10,2,12,10,52,46,307,316,7,6,228,239,0,0,0
73,215,196,22,63,2,3,26,12,11,17,17,70,72,247,284,8,7,193,191,1,16,1
74,202,291,0,40,144,1,12,4,9,1,7,90,37,345,349,10,9,210,302,0,0,0
75,338,438,0,125,109,7,22,6,3,8,8,15,8,212,212,3,3,384,441,0,0,0
76,156,265,0,215,144,13,23,13,15,3,16,45,26,220,224,10,9,186,265,0,0,0
77,54,15,9,215,144,13,32,13,13,16,14,92,94,508,503,10,9,26,21,0,80,1
78,165,271,0,44,121,11,14,10,13,6,7,60,29,291,287,0,2,188,268,0,0,0
79,206,330,0,215,144,10,11,10,8,1,5,61,18,230,231,10,9,229,325,0,0,0
80,161,219,0,36,100,6,18,3,6,8,11,70,47,369,349,10,9,158,231,0,0,0
81,227,221,49,23,8,3,23,3,3,8,14,88,73,249,236,8,8,209,226,1,123,1
82,192,298,0,215,144,3,8,16,6,0,6,84,44,295,269,10,9,195,299,0,41,1
83,274,301,16,215,144,10,22,8,9,18,16,72,60,311,312,10,9,281,299,1,15,1
84,239,217,6,38,38,16,64,16,16,12,12,87,70,343,360,7,7,217,223,0,27,1
85,289,273,8,129,106,6,19,15,11,7,9,59,56,246,279,6,5,269,277,0,2,0
86,182,265,0,52,101,6,14,13,6,3,11,64,29,359,346,10,9,175,274,0,0,0
87,296,417,0,132,128,4,20,4,0,15,6,50,16,223,204,0,1,310,406,0,0,0
88,261,330,4,52,94,0,15,2,4,10,7,57,35,287,268,4,6,276,342,0,0,0
89,213,237,0,215,144,12,27,12,12,10,14,37,28,221,232,10,9,218,236,0,0,0
90,305,319,75,15,78,0,20,9,0,7,15,79,59,208,203,7,7,303,320,1,0,0
91,228,199,95,215,144,13,29,6,6,15,15,74,92,51,58,8,8,210,185,1,27,1
92,245,364,0,215,144,5,14,16,5,0,10,91,36,261,222,10,9,234,362,0,0,0
93,188,211,0,70,77,6,23,4,2,5,11,51,50,210,231,10,9,196,219,0,10,1
94,104,161,8,19,103,6,21,6,6,13,10,56,38,245,212,2,3,123,171,0,0,0
95,195,213,0,62,89,10,19,11,8,6,12,67,48,264,292,7,6,188,213,0,0,0
96,59,123,0,15,12,6,19,10,6,3,11,84,78,290,269,7,8,84,116,0,43,1
97,201,251,0,56,133,11,19,15,15,9,11,53,32,200,219,6,6,206,244,0,0,0
98,161,183,2,23,48,16,64,12,11,6,4,92,46,397,397,5,7,139,183,0,0,0
99,282,298,4,52,60,16,64,10,9,10,13,71,70,235,231,6,6,281,279,0,4,0
100,194,263,0,62,107,10,13,8,0,8,9,44,43,287,268,3,4,237,266,0,0,0
101,244,233,6,38,11,16,64,11,10,10,17,74,55,280,315,7,8,225,241,0,134,1
102,256,281,10,82,114,16,64,0,2,4,8,69,60,259,291,1,6,268,283,1,2,0
103,6,3,32,215,144,15,27,11,16,14,39,93,100,508,503,10,9,2,468,1,0,0
104,179,262,0,215,144,13,19,13,13,8,7,46,25,249,253,10,9,208,260,0,0,0
105,232,375,0,93,125,9,17,1,2,8,7,17,9,252,239,0,0,327,375,0,0,0
106,234,317,0,96,69,9,16,2,0,8,6,55,29,258,260,7,3,233,318,0,0,0
107,215,360,0,63,101,14,19,4,7,9,9,40,13,190,169,6,6,252,368,0,0,0
108,191,188,0,34,31,2,26,2,2,17,16,67,71,302,309,7,7,181,191,0,0,0
109,203,317,0,215,144,1,8,16,9,0,5,55,15,335,323,10,9,208,319,0,0,0
110,299,383,0,72,119,13,14,15,15,5,6,35,15,178,158,7,5,351,390,0,0,0
111,222,386,0,95,122,7,19,4,15,15,13,9,6,270,247,1,1,339,390,0,0,0
112,140,129,4,40,95,4,20,3,4,4,13,78,93,296,269,8,8,123,128,0,59,1
113,113,146,15,11,68,12,13,13,15,10,7,86,47,388,429,3,4,110,157,1,0,0
114,175,163,71,34,66,8,21,8,8,12,13,52,66,291,324,7,8,153,161,1,4,0
115,226,210,216,29,36,7,34,13,13,22,17,99,77,98,193,8,5,399,222,1,18,1
116,204,280,0,215,144,10,21,10,0,10,6,43,23,233,238,10,9,203,276,0,0,0
117,159,212,0,215,144,7,19,5,6,4,12,83,35,290,262,10,9,143,218,0,0,0
118,261,315,0,70,113,9,20,10,9,12,13,55,50,244,237,1,2,295,318,0,0,0
119,178,211,13,30,62,7,17,3,14,5,11,92,69,260,256,8,6,176,199,1,4,0
120,209,289,6,215,144,8,18,8,6,10,4,55,34,304,288,10,9,220,284,0,0,0
121,114,112,8,215,144,13,12,13,8,8,2,96,94,288,303,8,4,84,114,0,16,1
122,175,169,42,11,41,15,17,13,15,6,10,92,78,328,359,10,9,163,170,1,2,0
123,273,292,0,67,15,4,8,13,1,3,6,68,63,273,267,7,7,289,294,0,0,0
124,189,307,0,72,131,10,18,2,5,7,5,41,14,226,216,1,9,220,305,0,0,0
125,145,169,99,215,144,13,26,14,14,14,15,85,56,219,231,3,1,130,170,1,9,0
126,106,185,0,29,61,6,27,6,3,10,14,73,40,247,194,1,7,111,189,0,25,1
127,149,298,0,84,119,0,25,0,2,7,11,9,5,301,289,3,0,255,302,0,0,0
128,144,176,60,13,44,1,10,13,0,7,9,92,61,422,405,10,9,140,175,1,18,1
129,194,170,54,21,60,13,22,15,15,13,15,94,62,253,307,8,6,166,178,1,0,0
130,199,192,22,215,144,8,13,8,8,6,8,61,51,353,377,10,9,187,200,1,0,0
131,283,310,0,80,144,2,16,9,0,4,1,65,75,281,284,6,7,312,296,0,123,1
132,282,302,118,215,144,5,23,7,5,9,15,82,65,197,186,10,9,269,301,1,132,1
133,155,235,0,38,144,7,17,5,7,1,6,88,54,251,246,10,9,149,237,0,0,0
134,204,296,0,54,108,0,15,0,1,7,5,56,28,383,371,1,0,214,308,0,0,0
135,222,211,62,25,0,14,13,9,9,5,9,97,96,163,172,10,9,212,223,1,55,1
136,115,190,0,215,104,16,64,0,11,8,5,64,45,397,385,3,3,159,200,0,0,0
137,219,275,0,215,144,16,64,16,9,0,2,84,47,508,503,2,2,236,275,0,0,0
138,144,203,0,17,93,16,64,16,2,0,5,85,61,352,340,1,1,146,212,0,0,0
139,305,335,0,60,110,10,8,1,4,4,9,67,66,183,166,1,1,332,336,0,0,0
140,262,258,0,34,95,0,16,2,2,10,12,71,58,274,277,5,1,248,261,0,0,0
141,212,218,0,42,98,11,27,12,12,16,15,45,39,208,204,1,2,208,224,0,4,0
142,174,222,0,102,93,15,33,13,15,13,21,50,28,203,216,3,7,199,215,0,8,0
143,174,187,23,29,48,16,64,14,7,7,8,81,72,100,150,7,7,166,156,1,44,1
144,211,316,0,74,61,11,12,2,11,5,6,44,21,235,223,7,5,242,329,0,0,0
145,181,341,0,215,122,0,23,1,10,10,6,36,13,262,225,10,9,263,350,0,0,0
146,197,285,0,215,144,0,11,16,4,0,6,77,38,508,503,10,9,206,292,0,0,0
147,169,254,0,215,144,6,23,14,7,3,13,96,55,276,267,10,9,160,257,0,0,0
148,294,350,0,106,108,1,16,10,0,3,13,72,58,257,246,4,2,306,342,0,0,0
149,271,250,0,52,17,4,25,4,4,17,18,63,77,251,238,8,8,255,247,0,41,1
150,122,273,0,60,101,11,16,0,1,7,10,52,22,300,260,2,7,206,268,0,4,0
151,197,262,0,23,62,1,12,6,12,3,4,74,43,337,321,7,6,191,269,0,6,0
152,174,189,111,40,78,16,64,7,14,4,1,80,67,228,277,2,2,156,189,1,0,0
153,215,360,0,215,144,9,17,9,7,7,7,68,10,189,183,2,9,226,357,0,0,0
154,237,277,0,215,120,10,18,2,10,7,10,53,36,311,304,10,9,227,280,0,0,0
155,211,196,0,60,94,16,64,10,10,7,10,62,63,280,286,7,6,196,203,0,9,0
156,235,400,0,215,144,13,28,9,7,1,12,95,22,508,503,10,9,232,390,0,0,0
157,264,265,127,215,144,10,21,11,16,8,39,83,100,273,503,10,9,248,468,1,147,1
158,157,207,0,215,144,8,13,13,8,6,11,44,49,292,284,10,9,180,219,0,0,0
159,141,211,0,52,98,10,9,16,10,0,6,66,44,356,356,10,9,174,218,0,0,0
160,215,282,0,86,61,8,15,6,2,11,6,64,63,228,230,10,9,219,250,0,62,1
161,166,329,0,58,129,11,7,8,11,2,8,74,28,313,292,2,0,202,321,0,0,0
162,235,278,0,44,117,1,10,1,1,5,5,54,55,295,287,3,6,275,269,0,0,0
163,286,306,152,21,144,0,14,16,4,0,10,85,71,208,209,10,9,282,304,1,103,1
164,112,245,2,30,104,5,18,5,3,8,12,88,42,353,339,0,1,150,253,0,4,0
165,138,170,2,215,144,15,30,5,15,6,11,45,40,508,503,10,9,154,179,0,42,1
166,162,160,0,15,41,13,6,6,11,7,4,69,54,361,352,7,6,146,173,0,0,0
167,186,174,23,215,144,9,30,10,10,18,18,87,72,508,356,8,4,180,186,1,104,1
168,132,191,1,215,144,16,64,7,16,1,0,88,60,508,503,6,7,134,191,0,1,0
169,85,196,0,215,144,14,15,5,15,1,12,86,34,508,503,10,9,114,188,0,0,0
170,149,188,0,11,0,9,3,0,12,2,4,60,38,332,333,7,6,163,198,0,0,0
171,107,161,0,215,144,9,12,10,9,9,10,97,63,376,373,6,9,117,168,0,2,0
172,197,324,0,215,144,9,17,5,10,11,14,48,49,215,218,2,9,281,305,0,28,1
173,302,342,175,67,113,14,11,1,14,5,8,69,50,213,188,6,2,323,348,1,8,0
174,59,156,2,21,144,12,19,12,15,11,11,54,40,344,358,1,4,122,149,0,2,0
175,173,187,429,215,144,15,8,15,8,4,4,64,53,356,371,10,9,172,192,2,8,0
177,145,178,0,48,100,13,15,15,14,9,7,47,29,323,317,0,0,143,189,0,0,0
178,104,221,0,215,144,6,21,3,6,5,12,84,58,404,404,10,9,175,232,0,0,0
179,176,191,0,52,104,16,64,9,12,3,11,57,68,347,340,6,8,198,191,0,12,1
180,195,202,0,17,35,5,20,6,3,11,15,69,53,364,365,6,7,176,205,0,0,0
181,274,276,0,38,107,11,19,12,12,6,11,75,58,193,219,7,2,253,271,0,0,0
182,174,185,2,215,144,13,19,12,14,9,7,51,41,279,255,10,9,162,198,0,0,0
183,210,298,0,74,44,0,24,9,5,6,5,48,29,260,260,5,7,228,298,0,6,0
184,255,428,0,142,103,10,21,3,14,9,7,15,11,218,221,1,4,346,426,0,0,0
185,259,224,99,98,2,13,44,0,0,9,11,94,94,189,175,8,8,239,231,1,153,1
186,136,177,25,9,70,7,9,6,9,9,5,81,63,379,381,1,3,139,165,1,13,1
187,192,183,0,215,144,2,22,8,9,4,4,67,62,297,308,10,9,178,190,0,2,0
188,262,226,115,215,144,10,27,10,10,17,15,90,89,251,279,10,9,232,227,1,10,1
189,213,348,0,58,105,12,25,7,7,6,9,78,28,291,275,4,6,240,355,0,0,0
190,135,340,0,47,144,14,17,3,15,7,13,26,10,243,202,10,9,262,349,0,0,0
191,233,254,0,215,144,10,17,9,8,7,11,52,40,215,238,10,9,231,250,0,0,0
192,179,226,0,215,144,15,13,7,13,8,7,52,39,239,236,10,9,197,235,0,0,0
193,231,235,0,215,144,5,14,13,1,3,7,74,66,359,356,10,9,220,226,0,0,0
194,210,266,2,17,105,0,7,14,0,5,7,70,65,338,335,1,1,262,269,0,0,0
195,82,158,0,11,89,8,9,8,10,5,7,90,31,423,425,1,1,84,167,0,0,0
196,193,225,8,30,63,8,8,11,8,3,6,98,72,362,365,8,2,180,220,0,6,0
197,291,293,0,215,144,16,64,9,16,3,39,74,100,508,503,6,9,291,468,0,70,1
198,203,232,0,90,112,9,23,9,10,19,12,41,24,375,371,1,0,197,238,0,0,0
199,106,150,0,9,83,10,9,9,9,5,6,81,61,464,468,2,4,132,155,0,0,0
200,225,301,0,215,144,0,23,0,0,15,16,51,34,508,503,10,9,222,300,0,43,1
201,313,367,2,76,39,15,29,5,10,10,10,83,94,218,200,7,8,285,276,0,417,1
202,321,371,4,62,111,1,17,2,0,5,9,65,44,197,182,7,6,341,374,0,15,1
203,179,206,107,104,14,8,22,7,15,3,9,91,80,114,147,8,7,180,198,1,55,1
204,201,183,0,34,50,9,17,8,9,10,8,53,54,333,327,7,2,189,189,0,0,0
205,226,242,0,54,84,12,43,13,15,24,29,56,40,158,503,6,3,206,249,0,0,0
206,203,304,0,58,111,10,17,13,9,5,12,55,31,267,250,0,5,245,314,0,0,0
207,159,174,0,17,38,9,17,9,9,7,13,85,63,426,434,7,5,148,181,0,0,0
208,283,315,0,62,83,5,18,6,1,8,9,69,58,243,238,7,5,291,316,0,0,0
209,254,328,0,88,31,3,21,4,5,10,13,56,30,256,230,7,7,262,322,0,0,0
210,166,158,84,11,47,12,25,12,12,15,18,72,65,66,126,7,3,141,155,1,59,1
211,188,224,0,215,144,10,14,8,9,11,13,60,49,350,346,10,9,215,220,0,0,0
212,168,291,0,60,144,16,64,16,16,39,39,44,24,508,503,10,9,222,264,0,0,0
213,214,184,0,69,144,1,12,1,4,8,3,50,50,283,277,8,8,188,191,0,55,1
214,204,242,4,32,119,0,21,1,0,7,15,65,51,361,371,3,1,218,247,0,0,0
215,226,391,0,109,130,0,36,1,0,13,5,25,5,281,265,0,1,314,397,0,0,0
216,160,185,27,0,56,14,14,14,14,4,11,93,66,317,333,10,9,160,190,1,10,1
217,150,237,60,215,144,13,33,3,7,6,19,77,35,212,193,10,9,177,231,1,0,0
218,93,163,2,9,16,3,9,1,5,4,4,97,70,240,219,7,7,76,155,0,26,1
219,218,245,0,215,144,13,23,12,14,2,15,80,74,143,161,10,9,221,230,0,0,0
220,227,290,0,52,105,10,10,5,9,5,7,67,42,304,283,7,0,209,294,0,0,0
221,179,202,6,215,144,8,4,2,7,4,2,95,68,508,503,10,9,170,207,0,52,1
222,154,227,0,44,78,13,31,6,14,11,20,75,53,243,266,1,6,193,228,0,2,0
223,127,243,0,56,105,2,16,0,2,2,10,34,20,315,301,1,5,179,251,0,0,0
224,229,185,0,215,144,11,25,8,8,20,16,77,85,261,262,8,8,207,193,0,346,1
225,183,361,0,215,110,16,64,2,12,2,15,18,15,280,262,2,3,318,369,0,0,0
226,246,226,0,215,144,8,29,8,8,16,22,70,66,197,226,8,2,230,227,0,0,0
227,90,212,0,215,144,2,5,11,1,2,1,92,45,508,503,10,9,110,222,0,2,0
228,286,417,0,104,103,15,35,12,12,5,6,18,9,293,271,1,2,351,418,0,0,0
229,270,303,4,62,118,5,24,7,1,7,18,63,46,323,306,1,1,274,315,0,0,0
230,196,213,0,215,144,15,20,15,13,13,14,50,40,68,95,10,9,190,217,0,0,0
231,252,237,0,38,73,3,20,3,6,10,12,83,80,327,321,7,6,234,238,0,138,1
232,175,188,0,215,144,14,12,14,6,9,11,33,47,273,261,10,1,166,184,0,0,0
233,112,105,30,215,144,14,11,14,14,7,10,92,86,327,339,8,8,110,108,1,0,0
234,344,350,0,84,114,14,16,6,14,9,10,62,49,204,192,4,2,338,356,0,4,0
235,182,258,0,215,144,8,20,9,10,10,15,53,48,297,296,10,9,242,252,0,0,0
236,157,249,0,50,105,0,11,0,9,9,3,48,27,327,310,0,3,199,257,0,0,0
237,219,308,0,84,131,12,15,2,12,5,10,44,36,290,277,0,0,263,297,0,0,0
238,135,150,94,25,41,8,17,11,11,5,8,98,74,337,362,7,5,134,153,1,9,0
239,160,169,6,21,144,15,29,14,15,11,15,84,48,174,212,8,5,144,173,0,25,1
240,160,246,0,25,84,4,15,6,5,7,15,59,59,316,287,4,4,213,229,0,0,0
241,111,166,0,13,47,15,4,16,2,0,1,98,69,463,459,7,1,95,175,0,4,0
242,275,289,21,52,54,6,15,8,9,6,5,80,61,183,213,7,7,272,294,1,0,0
243,266,271,0,54,101,16,64,13,0,4,13,79,68,351,354,2,2,264,274,0,0,0
244,91,210,0,32,108,14,11,1,3,4,5,67,34,315,307,1,3,130,215,0,0,0
245,208,302,0,74,99,8,32,3,9,12,9,56,42,206,212,6,7,237,275,0,0,0
246,230,226,171,10,90,1,16,0,2,13,9,82,86,292,296,4,7,231,225,1,15,1
247,226,238,0,34,101,15,6,16,12,0,5,56,54,300,293,7,3,244,249,0,0,0
248,164,177,6,5,17,16,64,12,8,10,19,83,72,331,356,7,6,162,166,0,2,0
249,196,182,0,3,144,7,29,6,7,15,16,73,48,48,44,10,9,188,181,0,4,0
250,48,145,0,25,144,16,64,16,16,39,39,78,57,508,503,10,9,70,148,0,0,0
251,210,212,72,215,144,9,8,12,9,5,4,97,98,508,503,10,9,191,208,1,280,1
252,164,161,23,11,0,4,7,1,3,5,6,88,86,268,266,7,8,147,174,1,0,0
253,242,206,4,131,55,15,24,13,15,11,15,94,66,150,222,8,7,209,215,0,36,1
254,269,373,0,215,144,1,19,4,1,10,10,47,27,192,151,10,1,300,365,0,154,1
255,219,276,0,215,144,8,24,10,10,7,16,49,56,226,243,10,9,263,263,0,0,0
256,142,468,0,215,144,16,64,16,9,0,5,71,52,508,503,5,1,185,222,0,0,0
257,141,144,64,11,6,12,22,15,12,10,8,69,88,236,240,8,8,133,121,1,36,1
258,157,155,86,17,89,15,34,15,15,12,20,92,73,191,242,10,9,130,145,1,44,1
259,293,319,36,25,1,8,17,0,10,6,10,81,64,179,171,7,8,286,325,1,44,1
260,169,228,0,46,36,12,15,0,11,6,10,63,52,187,208,7,7,197,228,0,36,1
261,366,205,0,215,144,16,64,16,16,39,39,99,100,508,503,10,9,399,468,0,0,0
262,204,202,196,215,144,2,31,9,9,20,23,68,67,315,302,8,8,223,212,1,32,1
263,189,264,0,215,144,7,17,6,14,2,11,61,44,251,233,10,9,215,268,0,0,0
264,167,198,0,7,67,3,9,13,2,5,5,81,46,423,430,10,9,143,208,0,0,0
265,227,238,0,215,144,8,24,12,8,5,11,71,65,315,323,10,9,230,249,0,84,1
266,164,188,83,21,21,8,11,1,12,5,2,57,45,334,346,7,7,173,188,1,0,0
267,246,342,2,215,144,13,20,4,6,4,4,87,40,324,301,10,9,243,353,0,0,0
268,236,260,0,40,29,1,13,3,9,8,9,76,64,211,210,7,7,213,257,0,21,1
269,199,293,0,215,144,2,23,1,0,16,13,47,27,508,503,10,9,242,298,0,0,0
270,192,213,0,215,144,5,27,15,0,8,5,84,71,311,301,10,9,176,218,0,50,1
271,243,339,0,215,144,10,14,2,8,7,11,67,46,221,218,10,9,248,343,0,0,0
272,95,194,4,9,67,1,4,7,8,5,2,97,59,368,353,6,1,81,198,0,2,0
273,205,258,0,215,144,6,10,13,7,7,9,53,36,318,299,10,9,214,262,0,0,0
274,129,238,0,215,144,12,17,11,11,11,13,49,44,508,503,10,9,225,233,0,0,0
275,170,281,0,101,144,16,64,16,16,39,39,55,13,508,503,10,9,193,284,0,0,0
276,178,203,0,215,144,4,23,3,4,6,20,64,68,412,395,10,9,203,202,0,0,0
277,188,249,8,215,144,5,11,3,3,6,9,77,56,322,321,3,3,209,255,0,8,0
278,143,148,2,17,56,15,24,13,15,14,14,69,55,268,313,3,6,128,157,0,0,0
279,73,160,0,215,144,11,11,11,3,8,7,66,50,298,290,10,9,118,166,0,0,0
280,195,339,0,50,130,10,13,16,10,0,7,74,100,327,318,0,1,211,340,0,0,0
281,309,393,0,88,89,2,14,9,8,5,4,31,17,182,196,4,3,315,383,0,0,0
282,202,197,2,215,144,8,12,15,1,3,5,93,67,508,503,10,9,182,206,0,106,1
283,298,356,0,100,105,6,16,1,6,4,12,52,44,260,235,3,3,324,345,0,0,0
284,156,210,13,50,80,7,49,7,6,17,28,61,32,196,142,3,6,192,212,1,26,1
285,202,254,0,215,144,8,23,11,10,10,7,60,46,508,503,10,9,233,256,0,0,0
286,262,344,29,29,117,3,23,3,7,15,12,49,48,302,291,1,2,279,294,1,32,1
287,177,201,35,215,144,13,26,3,13,13,18,53,70,254,268,3,8,203,148,1,9,0
288,175,205,83,25,88,11,18,14,7,10,5,69,33,244,273,4,5,174,201,1,2,0
289,244,254,0,215,144,4,7,1,16,5,39,78,100,229,503,10,9,255,468,0,71,1
290,166,222,56,17,94,4,9,9,2,3,1,90,62,303,313,1,2,182,220,1,0,0
291,112,163,2,13,45,10,12,15,10,4,7,97,73,344,359,8,6,137,160,0,18,1
292,277,261,0,215,144,4,15,1,3,12,9,72,78,229,227,10,9,278,261,0,0,0
293,113,144,0,215,144,14,16,1,4,4,7,97,83,508,503,10,9,98,130,0,8,0
294,136,206,0,34,76,10,18,8,0,11,11,60,54,333,333,1,7,193,203,0,0,0
295,209,320,0,67,124,5,19,5,1,17,6,52,20,354,329,0,1,239,316,0,0,0
296,280,406,0,122,134,4,20,5,3,16,8,20,10,189,181,0,9,321,392,0,0,0
297,243,242,130,15,24,1,16,2,0,6,9,70,59,384,372,8,7,237,253,1,30,1
298,227,211,0,215,144,1,13,2,1,8,11,65,62,336,344,10,9,208,207,0,0,0
299,109,212,0,215,144,14,28,3,14,4,20,73,36,307,267,10,9,139,211,0,0,0
300,237,338,8,72,10,3,46,3,3,19,33,69,35,199,135,7,7,228,318,0,19,1
301,222,232,0,86,77,16,64,13,14,15,20,52,51,181,187,5,7,206,199,0,29,1
