,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
10,8.7,20.9,0.0,2.8,9.5,8,19.0,14,10,2.0,11.0,95.0,44.0,1024.2,1020.8,5.0,2.0,11.5,20.0,0,0.0,0
11,16.4,28.0,1.0,5.0,1.7,15,65.0,14,13,15.0,37.0,39.0,96.0,1003.9,1008.5,8.0,8.0,26.1,16.4,0,12.6,1
12,12.9,21.7,1.4,18.0,,8,24.0,10,5,11.0,2.0,77.0,58.0,1025.9,1024.2,,,15.2,19.8,1,0.0,0
13,12.1,20.9,0.0,4.4,6.9,0,37.0,7,0,13.0,30.0,72.0,57.0,1010.1,1006.4,5.0,6.0,15.5,18.3,0,0.0,0
14,13.2,19.8,0.0,4.6,11.3,8,37.0,10,9,15.0,20.0,57.0,51.0,1022.4,1021.9,6.0,2.0,14.9,18.9,0,0.0,0
15,10.7,18.0,6.0,,,13,33.0,10,7,6.0,15.0,93.0,87.0,1001.5,1000.1,,,14.7,15.9,1,6.0,1
16,26.3,33.6,0.0,,10.9,6,35.0,0,3,9.0,24.0,65.0,53.0,1013.3,1008.7,4.0,4.0,30.3,32.5,0,0.0,0
17,,,0.0,,,16,,16,16,,,,,,,,,,,0,0.0,0
18,11.0,23.1,0.0,5.0,12.5,8,35.0,10,2,6.0,13.0,68.0,49.0,1019.9,1017.2,1.0,1.0,17.0,22.4,0,0.0,0
19,9.0,21.5,0.0,7.0,9.1,4,46.0,4,5,19.0,17.0,49.0,42.0,1022.9,1018.6,4.0,7.0,15.9,20.6,0,0.4,0
21,13.8,19.2,18.6,,,10,61.0,9,8,31.0,22.0,75.0,83.0,1022.7,1021.4,,,15.9,15.6,1,10.8,1
22,24.9,33.2,0.0,7.2,8.0,0,48.0,2,0,31.0,22.0,66.0,55.0,1011.9,1008.6,4.0,7.0,27.9,32.2,0,0.0,0
23,14.4,21.1,4.4,,,3,57.0,1,3,13.0,37.0,74.0,67.0,1005.0,1005.8,,,21.0,17.4,1,3.0,1
24,20.3,30.0,0.0,7.0,,5,57.0,6,4,28.0,35.0,54.0,60.0,,1008.4,6.0,3.0,25.6,27.1,0,0.0,0
25,18.8,33.7,0.0,8.0,13.5,10,52.0,3,1,19.0,9.0,63.0,32.0,1009.2,1007.3,4.0,5.0,25.8,32.4,0,49.2,1
26,4.3,14.3,0.0,,,13,57.0,7,13,9.0,17.0,84.0,81.0,,,,,10.0,12.1,0,0.0,0
28,4.0,16.0,0.0,2.0,6.9,14,46.0,13,13,17.0,31.0,69.0,50.0,1026.9,1024.1,4.0,4.0,13.1,15.2,0,0.0,0
29,14.3,38.2,0.0,12.0,13.0,15,48.0,5,15,28.0,28.0,11.0,17.0,1009.8,1006.5,2.0,1.0,32.3,31.8,0,0.0,0
30,16.3,37.2,0.0,9.6,9.6,14,56.0,6,14,22.0,30.0,23.0,14.0,1011.7,1008.1,6.0,7.0,30.5,36.0,0,1.0,0
31,8.1,22.4,0.0,,9.5,11,33.0,3,12,7.0,17.0,89.0,39.0,1022.6,1019.7,3.0,,12.0,21.7,0,0.0,0
32,0.1,6.6,0.0,,,14,35.0,4,14,9.0,11.0,79.0,78.0,,,,,2.9,4.6,0,0.0,0
33,12.5,20.0,4.2,,9.9,12,33.0,8,15,9.0,15.0,76.0,52.0,1021.8,1022.3,,,16.2,19.7,1,0.0,0
34,6.9,13.7,4.4,,,9,46.0,2,2,7.0,9.0,99.0,73.0,1011.6,1008.1,7.0,,8.4,13.0,1,0.0,0
35,14.2,16.4,11.6,0.6,0.0,8,72.0,4,8,11.0,35.0,94.0,93.0,1011.3,1009.6,8.0,8.0,14.4,13.0,1,5.8,1
36,15.1,36.6,0.0,,,15,39.0,1,12,11.0,19.0,44.0,10.0,1010.9,1007.3,,,23.1,35.9,0,0.0,0
37,13.9,18.0,0.0,,,11,15.0,15,15,4.0,11.0,88.0,85.0,1021.0,1017.3,,,14.6,16.6,0,0.0,0
38,11.0,14.9,0.2,,,9,39.0,10,9,20.0,17.0,68.0,68.0,1036.8,1035.7,,,12.5,14.3,0,0.0,0
39,12.8,26.4,0.0,5.8,10.7,5,20.0,2,3,4.0,11.0,61.0,48.0,1013.1,1009.2,1.0,1.0,21.1,25.5,0,0.0,0
41,17.8,25.1,0.0,1.8,1.6,0,39.0,2,2,26.0,24.0,93.0,69.0,1011.3,1009.0,8.0,7.0,19.6,24.1,0,0.0,0
42,9.5,16.7,1.2,,,8,50.0,12,11,20.0,20.0,58.0,52.0,1011.9,1011.7,,,13.3,15.5,1,0.0,0
43,4.1,26.1,0.0,5.2,11.1,0,31.0,13,8,6.0,13.0,26.0,11.0,1023.4,1019.5,0.0,0.0,16.4,25.5,0,0.0,0
44,7.9,15.5,0.0,,,15,35.0,14,14,11.0,9.0,57.0,60.0,1019.2,1018.7,7.0,8.0,11.6,12.2,0,2.4,1
45,10.7,25.2,0.0,10.4,10.6,2,50.0,9,9,30.0,28.0,36.0,14.0,1021.0,1017.1,5.0,6.0,17.9,24.6,0,0.0,0
46,14.6,21.0,2.0,,,0,24.0,0,2,15.0,9.0,75.0,56.0,,,,,18.1,20.4,1,1.4,1
47,15.8,27.9,0.0,,,10,43.0,13,9,13.0,31.0,54.0,59.0,1014.7,1012.5,,,23.3,23.5,0,0.0,0
48,21.5,25.4,28.0,7.0,0.0,2,44.0,8,8,17.0,20.0,95.0,95.0,1008.9,1007.0,7.0,8.0,21.8,22.5,1,4.2,1
49,22.1,28.8,0.0,4.0,6.6,16,,10,1,15.0,17.0,70.0,64.0,1015.4,1012.3,3.0,6.0,26.0,27.4,0,0.0,0
50,6.9,17.5,1.6,3.6,,16,,16,16,,,92.0,76.0,,,,,9.1,16.2,1,6.2,1
51,3.7,16.2,0.0,3.4,7.0,6,37.0,0,7,2.0,19.0,78.0,37.0,1024.3,1021.6,7.0,,8.6,14.8,0,0.0,0
52,6.9,10.7,4.0,,,13,59.0,13,12,33.0,26.0,97.0,77.0,1006.3,1008.8,7.0,8.0,7.3,8.1,1,2.8,1
54,5.8,17.7,2.4,,,12,35.0,12,10,17.0,11.0,86.0,52.0,1018.8,1018.4,,,13.4,17.4,1,0.2,0
55,5.5,18.7,0.0,5.0,10.6,4,33.0,4,3,9.0,13.0,49.0,27.0,1025.4,1020.6,0.0,1.0,11.2,17.8,0,0.0,0
56,22.2,35.4,0.0,9.4,12.5,2,31.0,5,13,9.0,17.0,25.0,17.0,1010.6,1007.6,,,28.0,34.3,0,0.0,0
57,8.5,14.3,0.0,,,15,46.0,13,15,28.0,22.0,42.0,38.0,,,,,10.6,12.8,0,0.0,0
58,8.0,15.6,5.6,1.6,5.4,7,57.0,0,13,11.0,13.0,78.0,64.0,1014.9,1012.2,7.0,3.0,10.1,15.6,1,0.0,0
59,12.8,19.3,13.2,1.8,3.6,11,46.0,8,11,24.0,26.0,72.0,55.0,1015.1,1014.9,7.0,7.0,14.1,17.6,1,0.0,0
60,16.8,25.1,0.0,5.2,1.1,16,,14,12,2.0,15.0,47.0,49.0,1007.6,1006.1,,,18.8,21.0,0,0.6,0
61,22.8,33.4,0.0,6.8,7.6,2,46.0,10,1,15.0,22.0,65.0,40.0,1011.0,1008.4,1.0,3.0,27.1,32.8,0,0.0,0
62,24.4,43.6,0.0,32.2,,11,52.0,5,15,28.0,11.0,13.0,9.0,1009.1,1005.8,0.0,,33.8,41.0,0,0.0,0
63,1.6,14.3,0.2,1.4,9.1,0,37.0,16,0,0.0,13.0,98.0,76.0,1032.6,1030.9,,,5.7,14.1,0,0.0,0
64,13.4,30.1,0.0,4.0,10.5,11,31.0,9,13,4.0,15.0,53.0,34.0,1009.4,1005.7,1.0,1.0,21.9,28.4,0,0.0,0
65,23.0,41.0,0.0,,,9,69.0,7,14,20.0,35.0,51.0,23.0,1004.8,1002.6,,,32.6,40.5,0,0.0,0
66,16.9,24.3,3.6,4.4,12.0,14,46.0,15,13,17.0,26.0,58.0,27.0,1010.9,1008.5,3.0,1.0,19.4,23.5,1,0.0,0
67,13.4,19.8,14.8,2.0,5.1,7,81.0,7,14,37.0,35.0,62.0,91.0,1006.4,1006.4,4.0,8.0,17.5,15.0,1,12.8,1
68,6.7,17.1,0.0,1.2,9.2,5,33.0,4,4,11.0,13.0,58.0,41.0,1032.5,1029.2,,,12.4,16.5,0,0.0,0
69,9.8,15.8,0.0,3.0,9.8,13,41.0,13,8,20.0,19.0,50.0,40.0,1016.3,1016.1,2.0,1.0,13.5,15.5,0,0.0,0
70,19.3,28.1,0.0,16.0,7.4,11,46.0,8,11,19.0,24.0,26.0,14.0,1010.2,1008.8,7.0,4.0,19.6,24.9,0,0.0,0
71,18.1,28.5,0.0,,,4,43.0,5,4,20.0,31.0,68.0,66.0,1020.1,1017.1,,,23.9,26.6,0,0.0,0
72,17.2,22.6,0.4,7.6,5.9,16,,10,2,22.0,19.0,54.0,47.0,1020.2,1018.8,7.0,6.0,19.2,21.2,0,0.0,0
73,14.6,18.3,2.8,6.6,0.2,3,56.0,12,11,31.0,31.0,72.0,73.0,1014.2,1015.7,8.0,7.0,15.7,16.4,1,2.0,1
74,13.3,27.8,0.0,4.2,,1,30.0,4,9,2.0,13.0,92.0,38.0,1024.0,1022.1,,,17.4,27.5,0,0.0,0
75,26.9,42.5,0.0,15.2,10.9,7,48.0,6,3,15.0,15.0,17.0,9.0,1010.7,1008.5,3.0,3.0,34.9,41.4,0,0.0,0
76,8.7,25.2,0.0,,,13,50.0,13,15,6.0,30.0,47.0,27.0,1011.5,1009.7,,,15.0,23.8,0,0.0,0
77,-1.5,-0.6,1.0,,,13,67.0,13,13,30.0,26.0,94.0,95.0,,,,,-1.1,-1.0,0,12.6,1
78,9.6,25.8,0.0,4.6,12.1,11,33.0,10,13,11.0,13.0,62.0,30.0,1018.6,1016.0,0.0,2.0,15.2,24.1,0,0.0,0
79,13.7,31.7,0.0,,,10,28.0,10,8,2.0,9.0,63.0,19.0,1012.5,1010.4,,,19.3,29.8,0,0.0,0
80,9.2,20.6,0.0,3.8,10.0,6,41.0,3,6,15.0,20.0,72.0,48.0,1026.4,1022.1,,,12.2,20.4,0,0.0,0
81,15.8,20.8,7.0,2.4,0.8,3,50.0,3,3,15.0,26.0,90.0,74.0,1014.4,1010.9,8.0,8.0,17.3,19.9,1,21.0,1
82,12.3,28.5,0.0,,,3,22.0,16,6,0.0,11.0,86.0,45.0,1019.0,1014.2,,,15.9,27.2,0,5.8,1
83,20.5,28.8,2.0,,,10,48.0,8,9,33.0,30.0,74.0,61.0,1020.6,1018.4,,,24.5,27.2,1,1.8,1
84,17.0,20.4,0.6,4.0,3.8,16,,16,16,22.0,22.0,89.0,71.0,1023.8,1023.2,7.0,7.0,18.1,19.6,0,3.6,1
85,22.0,26.0,0.8,15.8,10.6,6,43.0,15,11,13.0,17.0,61.0,57.0,1014.1,1015.2,6.0,5.0,23.3,25.0,0,0.2,0
86,11.3,25.2,0.0,5.4,10.1,6,33.0,13,6,6.0,20.0,66.0,30.0,1025.4,1021.8,,,13.9,24.7,0,0.0,0
87,22.7,40.4,0.0,16.4,12.8,4,44.0,4,0,28.0,11.0,52.0,17.0,1011.8,1007.7,0.0,1.0,27.4,37.9,0,0.0,0
88,19.2,31.7,0.4,5.4,9.4,0,35.0,2,4,19.0,13.0,59.0,36.0,1018.2,1014.1,4.0,6.0,24.0,31.5,0,0.0,0
89,14.4,22.4,0.0,,,12,57.0,12,12,19.0,26.0,39.0,29.0,1011.6,1010.5,,,18.2,20.9,0,0.0,0
90,23.6,30.6,11.6,1.6,7.8,0,44.0,9,0,13.0,28.0,81.0,60.0,1010.3,1007.6,7.0,7.0,26.7,29.3,1,0.0,0
91,15.9,18.6,15.6,,,13,61.0,6,6,28.0,28.0,76.0,93.0,994.3,993.0,8.0,8.0,17.4,15.8,1,3.6,1
92,17.6,35.1,0.0,,,5,33.0,16,5,0.0,19.0,93.0,37.0,1015.6,1009.5,,,19.8,33.5,0,0.0,0
93,11.9,19.8,0.0,7.4,7.7,6,50.0,4,2,9.0,20.0,53.0,51.0,1010.5,1010.4,,,16.0,19.2,0,1.2,1
94,3.5,14.8,0.8,2.0,10.3,6,46.0,6,6,24.0,19.0,58.0,39.0,1014.0,1008.5,2.0,3.0,8.7,14.4,0,0.0,0
95,12.6,20.0,0.0,6.4,8.9,10,43.0,11,8,11.0,22.0,69.0,49.0,1015.9,1016.5,7.0,6.0,15.2,18.6,0,0.0,0
96,-1.0,11.0,0.0,1.6,1.2,6,43.0,10,6,6.0,20.0,86.0,79.0,1018.5,1014.2,7.0,8.0,4.8,8.9,0,6.2,1
97,13.2,23.8,0.0,5.8,13.3,11,43.0,15,15,17.0,20.0,55.0,33.0,1009.5,1009.2,6.0,6.0,17.0,21.7,0,0.0,0
98,9.2,17.0,0.2,2.4,4.8,16,,12,11,11.0,7.0,94.0,47.0,1029.2,1026.9,5.0,7.0,10.3,15.6,0,0.0,0
99,21.3,28.5,0.4,5.4,6.0,16,,10,9,19.0,24.0,73.0,71.0,1013.0,1010.4,6.0,6.0,24.5,25.2,0,0.4,0
100,12.5,25.0,0.0,6.4,10.7,10,31.0,8,0,15.0,17.0,46.0,44.0,1018.2,1014.1,3.0,4.0,20.1,23.9,0,0.0,0
101,17.5,22.0,0.6,4.0,1.1,16,,11,10,19.0,31.0,76.0,56.0,1017.5,1018.7,7.0,8.0,18.9,21.4,0,23.2,1
102,18.7,26.8,1.2,8.8,11.4,16,,0,2,7.0,15.0,71.0,61.0,1015.4,1016.4,1.0,6.0,23.2,25.6,1,0.2,0
103,-6.5,-2.0,4.6,,,15,57.0,11,16,26.0,,95.0,,,,,,-5.3,,1,0.0,0
104,11.0,24.9,0.0,,,13,43.0,13,13,15.0,13.0,48.0,26.0,1014.4,1012.6,,,17.2,23.3,0,0.0,0
105,16.3,36.2,0.0,10.0,12.5,9,39.0,1,2,15.0,13.0,19.0,10.0,1014.7,1011.2,0.0,0.0,29.1,34.8,0,0.0,0
106,16.5,30.4,0.0,10.4,6.9,9,37.0,2,0,15.0,11.0,57.0,30.0,1015.3,1013.3,7.0,3.0,19.7,29.1,0,0.0,0
107,14.6,34.7,0.0,6.6,10.1,14,43.0,4,7,17.0,17.0,42.0,14.0,1008.5,1004.2,6.0,6.0,21.6,34.1,0,0.0,0
108,12.2,17.5,0.0,3.6,3.1,2,56.0,2,2,31.0,30.0,69.0,72.0,1019.7,1018.1,7.0,7.0,14.5,16.4,0,0.0,0
109,13.4,30.4,0.0,,,1,22.0,16,9,0.0,9.0,57.0,16.0,1023.0,1019.5,,,17.2,29.2,0,0.0,0
110,23.0,37.0,0.0,7.6,11.9,13,33.0,15,15,9.0,11.0,37.0,16.0,1007.3,1003.1,7.0,5.0,31.5,36.3,0,0.0,0
111,15.3,37.3,0.0,10.2,12.2,7,43.0,4,15,28.0,24.0,11.0,7.0,1016.5,1012.0,1.0,1.0,30.3,36.3,0,0.0,0
112,7.1,11.6,0.4,4.2,9.5,4,44.0,3,4,7.0,24.0,80.0,94.0,1019.1,1014.2,8.0,8.0,8.7,10.1,0,8.8,1
113,4.4,13.3,1.8,1.2,6.8,12,31.0,13,15,19.0,13.0,88.0,48.0,1028.3,1030.1,3.0,4.0,7.4,13.0,1,0.0,0
114,10.6,15.0,11.0,3.6,6.6,8,46.0,8,8,22.0,24.0,54.0,67.0,1018.6,1019.6,7.0,8.0,11.7,13.4,1,0.4,0
115,15.7,19.7,38.4,3.0,3.6,7,70.0,13,13,41.0,31.0,,78.0,999.3,1006.6,8.0,5.0,,19.5,1,2.2,1
116,13.5,26.7,0.0,,,10,46.0,10,0,19.0,11.0,45.0,24.0,1012.8,1011.1,,,16.7,24.9,0,0.0,0
117,9.0,19.9,0.0,,,7,43.0,5,6,7.0,22.0,85.0,36.0,1018.5,1013.5,,,10.7,19.1,0,0.0,0
118,19.2,30.2,0.0,7.4,11.3,9,44.0,10,9,22.0,24.0,57.0,51.0,1013.9,1011.0,1.0,2.0,25.9,29.1,0,0.0,0
119,10.9,19.8,1.6,3.2,6.2,7,39.0,3,14,9.0,20.0,94.0,70.0,1015.5,1012.9,8.0,6.0,14.0,17.2,1,0.4,0
120,14.0,27.6,0.6,,,8,41.0,8,6,19.0,7.0,57.0,35.0,1019.9,1016.1,,,18.4,25.7,0,0.0,0
121,4.5,9.9,0.8,,,13,30.0,13,8,15.0,4.0,98.0,95.0,1018.3,1017.5,8.0,4.0,4.8,8.7,0,2.0,1
122,10.6,15.6,5.8,1.2,4.1,15,39.0,13,15,11.0,19.0,94.0,79.0,1022.3,1023.1,,,12.7,14.3,1,0.2,0
123,20.4,27.9,0.0,7.0,1.5,4,22.0,13,1,6.0,11.0,70.0,64.0,1016.8,1014.0,7.0,7.0,25.3,26.7,0,0.0,0
124,12.0,29.4,0.0,7.6,13.1,10,41.0,2,5,13.0,9.0,43.0,15.0,1012.1,1008.9,1.0,,18.4,27.8,0,0.0,0
125,7.6,15.6,16.4,,,13,56.0,14,14,26.0,28.0,87.0,57.0,1011.4,1010.4,3.0,1.0,9.4,14.3,1,1.0,0
126,3.7,17.2,0.0,3.0,6.1,6,57.0,6,3,19.0,26.0,75.0,41.0,1014.2,1006.7,1.0,7.0,7.5,16.2,0,3.2,1
127,8.0,28.5,0.0,9.0,11.9,0,54.0,0,2,13.0,20.0,11.0,6.0,1019.6,1016.2,3.0,0.0,21.9,27.5,0,0.0,0
128,7.5,16.3,9.0,1.4,4.4,1,26.0,13,0,13.0,17.0,94.0,62.0,1031.7,1027.7,,,10.4,14.8,1,2.2,1
129,12.5,15.7,7.8,2.2,6.0,13,48.0,15,15,24.0,28.0,96.0,63.0,1014.8,1017.9,8.0,6.0,13.0,15.1,1,0.0,0
130,13.0,17.9,2.8,,,8,31.0,8,8,11.0,15.0,63.0,52.0,1024.8,1024.9,,,15.1,17.3,1,0.0,0
131,21.4,29.7,0.0,8.6,,2,37.0,9,0,7.0,2.0,67.0,76.0,1017.6,1015.7,6.0,7.0,27.6,26.9,0,21.0,1
132,21.3,28.9,20.0,,,5,50.0,7,5,17.0,28.0,84.0,66.0,1009.2,1005.9,,,23.3,27.4,1,22.8,1
133,8.6,22.2,0.0,4.0,,7,39.0,5,7,2.0,11.0,90.0,55.0,1014.6,1011.9,,,11.3,21.0,0,0.0,0
134,13.5,28.3,0.0,5.6,10.8,0,35.0,0,1,13.0,9.0,58.0,29.0,1027.8,1024.3,1.0,0.0,17.8,28.1,0,0.0,0
135,15.3,19.8,9.4,2.6,0.0,14,31.0,9,9,9.0,17.0,99.0,97.0,1005.8,1004.5,,,17.6,19.6,1,8.0,1
136,4.6,17.7,0.0,,10.4,16,,0,11,15.0,9.0,66.0,46.0,1029.2,1025.7,3.0,3.0,12.3,17.3,0,0.0,0
137,15.0,26.2,0.0,,,16,,16,9,0.0,4.0,86.0,48.0,,,2.0,2.0,20.0,24.8,0,0.0,0
138,7.5,19.0,0.0,1.8,9.3,16,,16,2,0.0,9.0,87.0,62.0,1024.7,1021.2,1.0,1.0,11.0,18.5,0,0.0,0
139,23.6,32.2,0.0,6.2,11.0,10,22.0,1,4,7.0,17.0,69.0,67.0,1007.8,1003.9,1.0,1.0,29.6,30.9,0,0.0,0
140,19.3,24.5,0.0,3.6,9.5,0,37.0,2,2,19.0,22.0,73.0,59.0,1016.9,1015.0,5.0,1.0,21.2,23.4,0,0.0,0
141,14.3,20.5,0.0,4.4,9.8,11,57.0,12,12,30.0,28.0,47.0,40.0,1010.3,1007.7,1.0,2.0,17.2,19.7,0,0.4,0
142,10.5,20.9,0.0,11.4,9.3,15,69.0,13,15,24.0,39.0,52.0,29.0,1009.8,1008.9,3.0,7.0,16.3,18.8,0,0.8,0
143,10.5,17.4,3.0,3.0,4.8,16,,14,7,13.0,15.0,83.0,73.0,999.5,1002.3,7.0,7.0,13.0,12.9,1,6.4,1
144,14.2,30.3,0.0,7.8,6.1,11,30.0,2,11,9.0,11.0,46.0,22.0,1013.0,1009.6,7.0,5.0,20.6,30.2,0,0.0,0
145,11.2,32.8,0.0,,12.2,0,50.0,1,10,19.0,11.0,38.0,14.0,1015.7,1009.8,,,22.7,32.3,0,0.0,0
146,12.8,27.2,0.0,,,0,28.0,16,4,0.0,11.0,79.0,39.0,,,,,17.0,26.5,0,0.0,0
147,10.0,24.1,0.0,,,6,50.0,14,7,6.0,24.0,98.0,56.0,1017.1,1014.0,,,12.4,23.0,0,0.0,0
148,22.5,33.7,0.0,12.0,10.8,1,37.0,10,0,6.0,24.0,74.0,59.0,1015.2,1011.9,4.0,2.0,27.0,31.5,0,0.0,0
149,20.2,23.7,0.0,5.4,1.7,4,54.0,4,4,31.0,33.0,65.0,78.0,1014.6,1011.1,8.0,8.0,21.9,22.0,0,5.8,1
150,5.3,26.0,0.0,6.2,10.1,11,37.0,0,1,13.0,19.0,54.0,23.0,1019.5,1013.3,2.0,7.0,17.0,24.1,0,0.4,0
151,12.8,24.9,0.0,2.4,6.2,1,30.0,6,12,6.0,7.0,76.0,44.0,1023.2,1019.3,7.0,6.0,15.5,24.2,0,0.6,0
152,10.5,17.6,18.6,4.2,7.8,16,,7,14,7.0,2.0,82.0,68.0,1012.3,1015.0,2.0,2.0,12.0,16.2,1,0.0,0
153,14.6,34.7,0.0,,,9,39.0,9,7,13.0,13.0,70.0,11.0,1008.4,1005.6,2.0,,19.0,33.0,0,0.0,0
154,16.8,26.4,0.0,,12.0,10,41.0,2,10,13.0,19.0,55.0,37.0,1020.6,1017.6,,,19.1,25.3,0,0.0,0
155,14.2,18.3,0.0,6.2,9.4,16,,10,10,13.0,19.0,64.0,64.0,1017.5,1015.9,7.0,6.0,16.0,17.6,0,1.0,0
156,16.6,38.7,0.0,,,13,59.0,9,7,2.0,22.0,97.0,23.0,,,,,19.6,36.3,0,0.0,0
157,19.5,25.2,21.8,,,10,46.0,11,16,15.0,,85.0,,1016.8,,,,21.2,,1,25.6,1
158,8.8,19.4,0.0,,,8,31.0,13,8,11.0,20.0,46.0,50.0,1018.7,1015.7,,,14.4,19.2,0,0.0,0
159,7.2,19.8,0.0,5.4,9.8,10,24.0,16,10,0.0,11.0,68.0,45.0,1025.1,1022.8,,,13.8,19.1,0,0.0,0
160,14.6,26.9,0.0,9.2,6.1,8,35.0,6,2,20.0,11.0,66.0,64.0,1012.3,1010.3,,,18.3,22.3,0,9.4,1
161,9.7,31.6,0.0,6.0,12.9,11,20.0,8,11,4.0,15.0,76.0,29.0,1020.8,1016.5,2.0,0.0,16.6,29.4,0,0.0,0
162,16.6,26.5,0.0,4.6,11.7,1,26.0,1,1,9.0,9.0,56.0,56.0,1019.0,1016.0,3.0,6.0,23.9,24.2,0,0.0,0
163,21.7,29.3,26.4,2.2,,0,33.0,16,4,0.0,19.0,87.0,72.0,1010.3,1008.2,,,24.6,27.7,1,17.2,1
164,4.3,23.2,0.2,3.2,10.4,5,41.0,5,3,15.0,22.0,90.0,43.0,1024.8,1021.1,0.0,1.0,11.4,22.6,0,0.4,0
165,6.9,15.7,0.2,,,15,63.0,5,15,11.0,20.0,47.0,41.0,,,,,11.8,15.2,0,6.0,1
166,9.3,14.7,0.0,1.6,4.1,13,19.0,6,11,13.0,7.0,71.0,55.0,1025.6,1022.4,7.0,6.0,11.0,14.6,0,0.0,0
167,11.7,16.1,3.0,,,9,63.0,10,10,33.0,33.0,89.0,73.0,,1022.8,8.0,4.0,14.4,15.9,1,17.4,1
168,6.3,17.8,0.1,,,16,,7,16,2.0,0.0,90.0,61.0,,,6.0,7.0,9.8,16.4,0,0.1,0
169,1.6,18.3,0.0,,,14,35.0,5,15,2.0,22.0,88.0,35.0,,,,,7.8,16.1,0,0.0,0
170,8.0,17.5,0.0,1.2,0.0,9,13.0,0,12,4.0,7.0,62.0,39.0,1022.7,1020.5,7.0,6.0,12.7,17.1,0,0.0,0
171,3.8,14.8,0.0,,,9,30.0,10,9,17.0,19.0,99.0,64.0,1027.1,1024.5,6.0,,8.1,14.1,0,0.2,0
172,12.8,31.1,0.0,,,9,39.0,5,10,20.0,26.0,50.0,50.0,1011.0,1009.1,2.0,,24.5,27.8,0,3.8,1
173,23.3,32.9,30.6,7.0,11.3,14,28.0,1,14,9.0,15.0,71.0,51.0,1010.8,1006.1,6.0,2.0,28.7,32.1,1,0.8,0
174,-1.0,14.3,0.2,2.2,,12,43.0,12,15,20.0,20.0,56.0,41.0,1023.9,1023.0,1.0,4.0,8.6,12.2,0,0.2,0
175,10.4,17.4,,,,15,22.0,15,8,7.0,7.0,66.0,54.0,1025.1,1024.3,,,13.6,16.5,2,0.8,0
177,7.6,16.5,0.0,5.0,10.0,13,35.0,15,14,17.0,13.0,49.0,30.0,1021.8,1018.9,0.0,0.0,10.7,16.2,0,0.0,0
178,3.5,20.8,0.0,,,6,46.0,3,6,9.0,22.0,86.0,59.0,1029.9,1027.6,,,13.9,20.5,0,0.0,0
179,10.7,17.8,0.0,5.4,10.4,16,,9,12,6.0,20.0,59.0,69.0,1024.2,1021.2,6.0,8.0,16.2,16.4,0,1.4,1
180,12.6,18.9,0.0,1.8,3.5,5,44.0,6,3,20.0,28.0,71.0,54.0,1025.9,1023.7,6.0,7.0,14.0,17.8,0,0.0,0
181,20.5,26.3,0.0,4.0,10.7,11,43.0,12,12,11.0,20.0,77.0,59.0,1008.8,1009.2,7.0,2.0,21.7,24.4,0,0.0,0
182,10.5,17.2,0.2,,,13,43.0,12,14,17.0,13.0,53.0,42.0,1017.4,1012.8,,,12.6,17.1,0,0.0,0
183,14.1,28.5,0.0,7.8,4.4,0,52.0,9,5,11.0,9.0,50.0,30.0,1015.5,1013.3,5.0,7.0,19.2,27.1,0,0.6,0
